,Name,Prices,Discounted_Price,Discounted_Percent
0,Led Digital Stylish Watch Shape Like Smart Watch,499,249,50
1,MHB Hair Growth Oil with Herbal Shampoo - Adds Softness & Shine 6 in 1 125ml,450,364,19
2,"Always Diamonds Ultra Thin Sanitary Pads, Long, Value Pack, 16 Pads",360,275,24
3,Double Power Bundle - Brite Maximum Power 2kg x 2,1220,1000,18
4,LIFEBUOY TURMERIC & HONEY SOAP 135G,0,62,0
5,KNORR TOMATO KETCHUP 800G,250,205,18
6,"Always Thicks Sanitary Pads, Long, Trio Pack, 30 pads",565,419,26
7,Pack of 3 Fine Cotton Jersey Full Sleeves Printed T Shirt For Kids and boys,1499,790,47
8,KNORR CHILLI GARLIC SAUCE 800G,255,209,18
9,BB SUPREME BLCK TEA PKT 475gm,530,479,10
10,"Pantene Deep Black Shampoo, 185 ml",250,213,15
11,Gionee Handsfree 100% Original Sweat-Proof Crystal-Clear Audio Deep-Bass Noise-Cancellation Microphone Each Handsfree Is Tested Before Shipping,499,189,62
12,Express Power 500g - Detergent Washing Powder,115,98,15
13,"Ariel Touch of Downy ,Washing Powder Detergent -1Kg Pack + Ariel Touch of Downy ,Washing Powder Detergent -1Kg Pack",660,589,11
14,Palmolive Naturals Bar Soap Saver Pack 135gx3,185,167,10
15,【Free silicone case】Bluewow Original Macaron i12 Inpods 12 i12 TWS Wireless Earphone for iphone 11 12 Bluetooth Headphones True Wireless Earbuds 100%Tested Free Gift,2399,989,59
16,Harpic Toilet Cleaner Original 125ml Retail,50,44,12
17,Bonus Active 700g - Detergent Washing Powder,99,87,12
18,10% OFF ON RAFHAN BANANA CUSTARD 275G,100,90,10
19,Genuine Mild Leather Men's Zipper Purse Wallet For Men No Fold Simple Wallet Clasp,950,375,61
20,"ENSURE® ORIGINAL POWDER - Chocolate - 400GmComplete, Balanced Nutrition®",1580,1499,5
21,Self Adhesive Black / White Marble Sheet for Kitchen - Anti Oil and Heat Resistant Wallpaper,330,290,12
22,Safeguard Bar Soap Pure White 175gm (Bundle of 3),267,239,10
23,Brite Machine Wash 1kg - Detergent Washing Powder,399,310,22
24,Flower Shaped 5 Slot Belt Hanger Multi-function ABS Plastic Scarf Hanger 5 Holes Hanging Towel Scarf Tie Necklace Jewelry Saving Space Hangers,293,98,67
25,LouisWill Classic Men Diamond Watches Luxury Gold Business Watch Stainless Steel Quartz Wristwatches Luminous Waterproof Quartz Watch with Calendar Analog for Male,3058,1739,43
26,Pack of 24 Dayfresh UHT Milk 250ml (Capped),1128,999,11
27,Push Pop Bubble Fidget Spinner Pop It Silicone Toy - 5 inches - Rainbow,459,369,20
28,Set of 5 Women's Ring New Lightning ECG Ladies Girls Ring Set Alloy Smooth Ring,376,180,52
29,Beautiful theme of Happy Birthday Cards Banner with combo of '30' PCs balloons '1'Golden Fringe Curtain(6x3.5feet) for Birthday Decorations,580,279,52
30,Lemon Max Dishwash Paste Green 400g,0,135,0
31,12 Pairs of Shoes Under Bed Shoe Organizer Bag Hard Solid Fabric with Clear Plastic Zip Cover Store up to,345,327,5
32,Door Draft & Dust Stopper - Insect - Air Stopper - Under Bottom Seal - Twin Draft Guard 22 23 24 25 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 Inches Full Size H&S,349,92,74
33,M5 Mini Smart Band Men Women Smart Watch Blood Pressure Sleep Monitor Pedometer Bluetooth Connection For IOS Android,1599,939,41
34,AliToys Pop It Fidget Toy Square Giant Big Size Educationl Puzzle 30x30cm Toys for Boys and Kids Birthdays Gift,2800,1281,54
